date,open,high,low,close,volume
2024-12-04,13.207,14.638,11.3,12.724,7108824.13
2024-12-05,12.7,14.462,11.5,13.848,7517231.58
2024-12-06,13.848,15.314,13.55,14.246,6115263.73
2024-12-07,14.23,14.702,13.516,14.051,4241640.59
2024-12-08,14.056,14.463,12.064,13.598,11966218.13
2024-12-09,13.567,14.5,12.627,13.573,7326259.42
2024-12-10,13.56,16.598,13.06,16.144,7191060.37
2024-12-11,16.17,18.9,15.62,18.079,11838349.53
2024-12-12,18.08,19.74,16.972,19.509,8569245.33
2024-12-13,19.51,24.619,19.05,24.213,10740139.27
2024-12-14,24.212,25.469,21.1,23.955,12746726.96
2024-12-15,23.967,28.698,23.05,27.32,11800670.35
2024-12-16,27.329,29.0,23.643,25.579,15060391.27
2024-12-17,25.584,27.55,22.716,23.251,18198646.03
2024-12-18,23.267,27.23,22.1,24.96,21331445.22
2024-12-19,24.952,31.97,22.949,29.81,22750719.92
2024-12-20,29.815,35.35,29.0,32.09,14786705.25
2024-12-21,32.088,35.15,27.385,28.554,16153811.66
2024-12-22,28.56,29.939,25.27,28.632,23505949.27
2024-12-23,28.634,31.626,27.465,29.857,11878477.37
2024-12-24,29.859,30.56,26.242,26.629,8483311.0
2024-12-25,26.635,27.238,23.867,27.218,11524666.41
2024-12-26,27.22,28.93,25.734,27.119,9099603.65
2024-12-27,27.118,29.35,25.886,29.291,6224401.32
2024-12-28,29.292,29.499,26.647,27.49,4919047.31
2024-12-29,27.509,29.333,26.51,26.99,8499778.65
2024-12-30,26.991,27.167,22.958,24.062,8907924.9
2024-12-31,24.063,26.549,23.328,26.318,7518133.23
2025-01-01,26.318,26.823,22.49,23.198,8497398.17
2025-01-02,23.198,24.811,21.571,24.49,10456008.12
2025-01-03,24.479,25.5,23.163,25.058,5863070.49
2025-01-04,25.042,25.789,24.155,24.43,5911871.6
2025-01-05,24.43,26.2,24.07,25.24,7541782.2
2025-01-06,25.232,26.301,22.76,23.502,10146447.65
2025-01-07,23.502,23.954,20.15,22.501,17267800.82
2025-01-08,22.518,23.926,18.889,20.304,17657141.7
2025-01-09,20.299,22.198,19.751,20.665,11093843.7
2025-01-10,20.665,21.3,19.6,20.892,5057725.5
2025-01-11,20.883,21.989,20.01,21.155,4237240.63
2025-01-12,21.156,23.346,18.81,21.66,12990148.85
2025-01-13,21.66,23.55,21.251,22.988,8937388.15
2025-01-14,22.987,24.434,22.116,24.37,8738869.69
2025-01-15,24.37,24.38,23.073,23.507,6223821.12
2025-01-16,23.504,24.128,22.9,23.133,6861940.96
2025-01-17,23.137,23.179,19.2,22.016,16350079.27
2025-01-18,22.032,23.782,19.293,20.432,18528608.35
2025-01-19,20.428,22.848,19.11,20.575,12968416.51
2025-01-20,20.575,25.174,20.03,23.178,11541929.53
2025-01-21,23.183,27.053,23.0,24.325,9539561.86
2025-01-22,24.33,25.364,21.5,21.978,16850454.41
2025-01-23,21.969,25.008,21.146,23.113,9643108.95
2025-01-24,23.112,23.942,21.748,23.198,6831546.43
2025-01-25,23.2,24.9,22.134,22.143,6612262.43
2025-01-26,22.135,23.724,20.2,23.402,14695385.18
2025-01-27,23.401,24.47,21.55,22.291,10987611.88
2025-01-28,22.291,24.4,21.959,23.759,8435557.42
2025-01-29,23.744,27.992,23.354,27.211,12513613.14
2025-01-30,27.211,28.334,25.7,26.916,10954533.52
2025-01-31,26.927,27.784,22.595,23.181,11786810.45
2025-02-01,23.181,24.389,20.604,22.361,15296282.99
2025-02-02,22.361,26.0,19.937,25.185,22546744.37
2025-02-03,25.187,26.8,23.754,25.141,12580311.42
2025-02-04,25.143,27.433,24.2,24.76,9158709.99
2025-02-05,24.766,26.242,23.546,23.884,7992192.88
2025-02-06,23.882,25.209,22.111,22.876,9001422.23
2025-02-07,22.87,23.875,22.229,23.434,4115780.82
2025-02-08,23.423,24.059,22.1,22.979,3547528.62
2025-02-09,22.98,24.25,22.221,23.344,4923709.53
2025-02-10,23.337,24.9,22.9,23.497,5370539.41
2025-02-11,23.496,25.848,22.5,25.839,6804597.31
2025-02-12,25.834,26.32,24.6,26.301,6441326.08
2025-02-13,26.301,28.524,25.752,26.2,8706337.48
2025-02-14,26.222,26.913,25.304,25.744,4209752.06
2025-02-15,25.731,26.964,25.555,26.814,3292425.5
2025-02-16,26.801,27.0,24.853,25.405,5752171.13
2025-02-17,25.406,27.768,22.309,24.107,17352752.33
2025-02-18,24.105,24.568,22.502,24.069,7653179.51
2025-02-19,24.069,25.224,23.96,24.479,5604692.36
2025-02-20,24.479,26.0,23.677,25.058,9476668.66
2025-02-21,25.047,25.188,24.22,24.741,2790935.79
2025-02-22,24.789,24.813,22.8,23.164,3975123.0
2025-02-23,23.179,23.5,19.835,19.902,13455235.5
2025-02-24,19.902,20.846,17.036,20.219,26868127.97
2025-02-25,20.219,21.479,18.45,19.578,12485904.99
2025-02-26,19.58,21.23,19.569,20.915,7264435.58
2025-02-27,20.915,20.923,18.5,19.939,12040412.23
2025-02-28,19.946,20.501,18.83,19.599,4379498.32
2025-03-01,19.598,21.034,18.23,20.531,11086759.35
2025-03-02,20.538,21.099,17.437,17.901,13091291.9
2025-03-03,17.897,18.126,15.361,17.1,20607278.4
2025-03-04,17.09,17.921,16.321,17.187,8774453.95
2025-03-05,17.187,17.583,14.997,15.387,11655235.89
2025-03-06,15.389,16.464,14.612,15.128,13805671.97
2025-03-07,15.133,16.089,15.023,15.122,4604297.88
2025-03-08,15.122,15.582,14.234,14.435,8879008.22
2025-03-09,14.441,15.384,13.25,13.465,13563897.88
2025-03-10,13.473,14.755,13.0,13.795,12571209.19
2025-03-11,13.781,14.244,12.412,13.178,19896361.19
2025-03-12,13.178,13.7,12.096,12.33,15231173.01
2025-03-13,12.335,14.524,12.293,13.798,10944636.74
2025-03-14,13.79,14.816,13.761,14.383,4466712.06
2025-03-15,14.39,14.418,12.805,12.976,5551903.75
2025-03-16,12.976,14.057,12.955,13.255,6225036.89
2025-03-17,13.259,14.34,12.879,14.179,6049232.36
2025-03-18,14.171,15.787,13.791,15.61,12625894.59
2025-03-19,15.617,15.799,13.939,14.145,7525350.29
2025-03-20,14.144,15.924,13.871,15.913,7541052.66
2025-03-21,15.914,16.726,15.418,15.572,6787165.93
2025-03-22,15.575,16.329,15.45,16.309,4157868.69
2025-03-23,16.308,17.35,15.718,16.764,8647987.37
2025-03-24,16.764,17.005,15.865,16.028,6401413.63
2025-03-25,16.026,16.403,12.492,14.065,41727886.8
2025-03-26,14.066,15.156,13.981,14.614,8774394.79
2025-03-27,14.612,14.914,13.01,13.416,11715550.58
2025-03-28,13.415,13.6,12.358,12.807,8325382.76
2025-03-29,12.807,13.014,12.198,12.486,6456396.26
2025-03-30,12.487,13.48,12.198,13.006,7403939.29
2025-03-31,13.006,13.969,12.954,13.327,7625121.54
2025-04-01,13.327,14.461,11.68,11.772,14075948.67
2025-04-02,11.771,12.622,11.041,11.707,14583450.27
2025-04-03,11.708,12.4,11.057,11.886,13089390.74
2025-04-04,11.889,12.198,11.42,12.046,4220068.33
2025-04-05,12.047,12.092,10.001,10.261,12435825.15
2025-04-06,10.26,11.932,9.3061,11.494,23502342.31
2025-04-07,11.493,12.703,10.7,11.22,14081710.95
2025-04-08,11.221,14.419,11.078,13.57,21249842.74
2025-04-09,13.57,14.5,13.1,14.16,11878570.57
2025-04-10,14.157,16.009,13.744,15.673,12471437.97
2025-04-11,15.671,16.778,15.12,16.352,8575584.61
2025-04-12,16.347,16.832,14.977,15.404,8260945.14
2025-04-13,15.405,16.359,15.3,15.733,7990106.51
2025-04-14,15.734,16.596,14.971,15.025,6169346.1
2025-04-15,15.027,16.248,14.64,15.737,8543982.77
2025-04-16,15.737,17.226,15.483,17.149,9599765.96
2025-04-17,17.148,17.44,16.315,17.056,6291138.27
2025-04-18,17.056,18.242,16.69,18.088,6291159.33
2025-04-19,17.641,17.847,17.098,17.598,3037976.53
2025-04-20,17.597,18.456,17.214,18.198,6788133.1
2025-04-21,18.198,19.285,17.83,19.205,8196613.63
2025-04-22,19.205,19.236,18.0,18.447,9181074.48
2025-04-23,18.449,19.072,17.698,18.776,7028363.02
2025-04-24,18.776,19.191,18.15,18.407,5530924.91
2025-04-25,18.407,18.461,17.475,17.916,4697020.02
2025-04-26,17.916,18.25,17.322,17.383,4249650.2
2025-04-27,17.384,18.744,16.75,18.682,10442395.2
2025-04-28,18.683,19.2,18.15,18.613,8018912.11
2025-04-29,18.608,20.17,17.604,20.028,8727117.96
2025-04-30,20.028,21.176,19.223,19.937,13289021.27
2025-05-01,19.933,21.437,19.883,20.812,6200586.75
2025-05-02,20.813,21.539,19.951,20.948,5593768.93
2025-05-03,20.944,21.224,19.7,19.894,4532182.78
2025-05-04,19.893,20.757,19.791,20.293,5040176.96
2025-05-05,20.292,21.145,19.538,20.951,7658183.67
2025-05-06,20.957,21.05,20.952,20.969,7313.07
